CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED,PARTY_VOTED
2,359,NEK0827932,12:38:30,12:39:30,G. Priya Babu,NOD
1,340,OHO8466567,11:48:43,11:50:43,D. Kavya Das,RYX
1,53,WTF7960917,15:17:27,15:20:27,U. Anil Kumar,ZAR
6,1207,SOM9070087,13:04:19,13:05:19,D. Vikram Joshi,MEX
1,282,XSP6910138,14:52:23,14:54:23,M. Arun Singh,MEX
3,618,LJH6747435,16:13:52,16:16:52,B. Vikram Sharma,VUN
1,139,XWS3998804,12:42:36,12:44:36,D. Kavya Das,RYX
2,534,BCV9655477,16:40:42,16:41:42,Z. Manoj Sharma,VUN
2,498,MRC4833492,09:21:33,09:23:33,A. Priya Babu,WUF
1,245,ORI4343225,12:07:50,12:10:50,Q. Lakshmi Kumar,TIL
8,1473,QMN5127568,13:37:20,13:39:20,N. Vijay Das,VUN
1,308,IYD4154345,09:04:18,09:07:18,D. Kavya Das,RYX
8,1395,GQS3580205,16:46:09,16:49:09,Q. Kavya Naidu,ZAR
7,1362,EBY4840601,15:50:38,15:51:38,C. Latha Singh,BIR
2,515,LML5542457,14:43:30,14:44:30,Z. Manoj Sharma,VUN
1,307,DPX8844991,09:39:50,09:42:50,D. Kavya Das,RYX
6,1174,KXB3547728,08:39:47,08:40:47,D. Vikram Joshi,MEX
2,474,LDJ2330184,11:11:26,11:14:26,G. Priya Babu,NOD
3,709,SMA9505426,15:31:05,15:32:05,E. Meena Das,LAG
4,950,ING6155553,09:06:21,09:09:21,Q. Radha Yadav,VUN
7,1357,VHK2674104,16:40:39,16:42:39,V. Priya Babu,LAG
4,900,KMJ1679808,10:03:08,10:06:08,Q. Radha Yadav,VUN
3,663,PAL2818304,10:26:56,10:27:56,A. Rahul Verma,MEX
2,508,FZM3245814,13:56:32,13:58:32,Z. Manoj Sharma,VUN
2,441,EGL2843114,11:56:29,11:59:29,Z. Manoj Sharma,VUN
2,567,XEP7591996,13:06:47,13:08:47,A. Priya Babu,WUF
6,1137,CRI7677206,09:48:14,09:50:14,D. Vikram Joshi,MEX
2,454,DET7416676,16:12:43,16:15:43,Z. Manoj Sharma,VUN
7,1273,BNW6410839,08:29:46,08:31:46,K. Divya Yadav,VUN
7,1378,YFO0686839,12:50:14,12:53:14,C. Latha Singh,BIR
1,206,LFK6321401,14:28:00,14:31:00,U. Anil Kumar,ZAR
1,55,KUX8701236,09:21:31,09:24:31,D. Kavya Das,RYX
7,1277,KGV3156648,13:43:56,13:44:56,K. Divya Yadav,VUN
8,1415,JFM6939028,15:30:49,15:32:49,Q. Kavya Naidu,ZAR
2,495,TXO7703033,11:11:02,11:13:02,Z. Manoj Sharma,VUN
1,88,PJZ7116689,08:48:28,08:50:28,M. Arun Singh,MEX
4,806,GAF5147236,08:54:36,08:57:36,O. Ravi Verma,LAG
7,1371,CPN0897032,12:56:53,12:58:53,F. Kavya Joshi,KEM
1,345,MPZ3516754,10:18:23,10:19:23,U. Anil Kumar,ZAR
6,1219,TFU2748021,11:20:12,11:23:12,U. Radha Singh,KEM
6,1183,WBD0245024,15:40:10,15:41:10,U. Sanjay Yadav,BIR
2,493,XVB9230874,12:11:00,12:13:00,Z. Manoj Sharma,VUN
4,817,SLY4638717,10:20:41,10:22:41,O. Ravi Verma,LAG
4,822,BIU9520113,12:26:45,12:27:45,O. Ravi Verma,LAG
1,13,SSW6325979,14:51:44,14:53:44,Q. Lakshmi Kumar,TIL
1,325,JBV4528516,10:19:35,10:20:35,D. Kavya Das,RYX
7,1361,ONE8920670,08:03:38,08:06:38,C. Latha Singh,BIR
4,1017,MXH0692933,13:58:31,14:00:31,K. Rahul Sharma,MEX
2,514,MDH1237787,15:46:21,15:49:21,G. Priya Babu,NOD
6,1232,IPR1891730,12:58:25,13:00:25,U. Radha Singh,KEM
7,1353,GLO2525320,13:53:21,13:54:21,V. Priya Babu,LAG
2,382,TPH9927060,09:23:36,09:26:36,A. Priya Babu,WUF
7,1341,LEM1412832,10:24:43,10:25:43,K. Divya Yadav,VUN
1,344,APE6082838,16:03:37,16:05:37,Q. Lakshmi Kumar,TIL
6,1165,KJI6883114,09:40:54,09:41:54,D. Vikram Joshi,MEX
1,296,XTV0636410,15:11:39,15:12:39,D. Kavya Das,RYX
4,904,AFI7910997,16:18:12,16:20:12,K. Rahul Sharma,MEX
6,1237,SYE8810761,14:14:20,14:16:20,U. Sanjay Yadav,BIR
5,1115,YBL6327164,10:10:19,10:11:19,B. Vikram Babu,ZAR
1,180,LXE4487234,12:49:39,12:52:39,D. Kavya Das,RYX
1,310,FAG0916594,13:54:52,13:57:52,M. Arun Singh,MEX
2,383,KLT8301304,09:53:54,09:54:54,A. Priya Babu,WUF
3,666,ZWG6968815,15:26:27,15:27:27,A. Rahul Verma,MEX
3,684,MRC3696180,12:27:39,12:29:39,A. Rahul Verma,MEX
1,87,IID9556882,08:27:59,08:29:59,D. Kavya Das,RYX
7,1290,OLU2388663,09:51:32,09:53:32,C. Latha Singh,BIR
2,468,XRE3276353,10:26:10,10:28:10,A. Priya Babu,WUF
1,90,WHT1195766,13:44:50,13:45:50,U. Anil Kumar,ZAR
1,302,BFF6092690,08:40:04,08:41:04,M. Arun Singh,MEX
6,1248,FPD2361952,09:16:02,09:17:02,D. Vikram Joshi,MEX
1,2,APH4050032,14:55:38,14:58:38,M. Arun Singh,MEX
2,390,BDK6164273,09:21:26,09:22:26,Z. Manoj Sharma,VUN
3,700,AVL2741788,09:51:10,09:54:10,B. Vikram Sharma,VUN
8,1493,RSJ0096133,09:24:09,09:27:09,Q. Kavya Naidu,ZAR
2,549,ZNQ8863497,15:03:35,15:05:35,G. Priya Babu,NOD
3,759,FSH8420734,11:19:28,11:20:28,E. Meena Das,LAG
1,124,LTH7062993,14:32:17,14:34:17,D. Kavya Das,RYX
1,212,EYV0877320,09:31:13,09:33:13,D. Kavya Das,RYX
4,976,AVJ4036198,09:45:57,09:48:57,Q. Radha Yadav,VUN
2,450,KCR3661736,12:54:18,12:55:18,G. Priya Babu,NOD
6,1206,PMU4862001,16:57:04,17:00:04,U. Radha Singh,KEM
3,780,YTG5108111,12:15:44,12:17:44,E. Meena Das,LAG
5,1070,LOW8914647,13:46:02,13:47:02,T. Lakshmi Verma,TIL
7,1300,OBC5033968,16:31:20,16:32:20,V. Priya Babu,LAG
1,82,OGZ6059799,16:33:59,16:34:59,Q. Lakshmi Kumar,TIL
2,579,BDG6845862,10:45:09,10:48:09,A. Priya Babu,WUF
1,54,CDY8456818,14:23:02,14:26:02,M. Arun Singh,MEX
1,307,QYY8300873,12:36:35,12:38:35,M. Arun Singh,MEX
3,633,SEX7707342,13:33:09,13:36:09,A. Rahul Verma,MEX
2,519,RFB8748412,15:05:56,15:07:56,G. Priya Babu,NOD
2,370,CGX4229714,15:27:15,15:28:15,Z. Manoj Sharma,VUN
1,270,TDG5422456,16:18:51,16:19:51,D. Kavya Das,RYX
8,1490,CGP9589355,13:18:34,13:20:34,N. Kiran Babu,WUF
2,357,SMO9194619,08:10:12,08:13:12,G. Priya Babu,NOD
2,442,RJK6054813,08:43:25,08:46:25,G. Priya Babu,NOD
7,1313,CJM0813800,14:39:30,14:42:30,F. Kavya Joshi,KEM
3,748,RDU7444297,10:53:04,10:54:04,E. Latha Yadav,ZAR
1,183,PHW5209768,12:07:38,12:10:38,U. Anil Kumar,ZAR
1,70,LPX5615542,16:12:57,16:13:57,U. Anil Kumar,ZAR
4,965,LCR1927110,09:55:12,09:58:12,Q. Radha Yadav,VUN
3,788,GMR9636767,13:56:59,13:57:59,E. Meena Das,LAG
4,915,DTK7006054,12:43:05,12:45:05,U. Anil Babu,QOP
3,724,VJD0012280,13:44:08,13:47:08,E. Latha Yadav,ZAR
3,783,JCA4366565,16:18:31,16:21:31,E. Latha Yadav,ZAR
8,1427,TVB9646387,13:37:47,13:40:47,N. Vijay Das,VUN
1,217,TCL3526754,16:34:26,16:36:26,M. Arun Singh,MEX
4,876,LPZ4083467,13:20:44,13:21:44,U. Anil Babu,QOP
4,992,EUB0334818,10:49:11,10:52:11,Q. Radha Yadav,VUN
7,1375,MUS3875030,09:18:38,09:21:38,K. Divya Yadav,VUN
8,1503,WUJ4523293,10:53:54,10:54:54,Q. Kavya Naidu,ZAR
4,799,GMS5378241,11:56:47,11:57:47,Q. Radha Yadav,VUN
1,199,WPD9734353,09:06:02,09:08:02,D. Kavya Das,RYX
8,1515,WNW7613520,15:14:00,15:15:00,N. Kiran Babu,WUF
2,369,BEL2211884,09:44:44,09:47:44,A. Priya Babu,WUF
2,453,PUV1270725,13:52:24,13:53:24,A. Priya Babu,WUF
2,497,GFR8372843,16:09:30,16:12:30,Z. Manoj Sharma,VUN
1,187,RXP6519072,10:50:22,10:51:22,M. Arun Singh,MEX
7,1290,WQS3322951,11:49:15,11:51:15,C. Latha Singh,BIR
2,514,TQX1457271,12:19:45,12:22:45,Z. Manoj Sharma,VUN
4,791,FLE2517131,10:49:34,10:51:34,O. Ravi Verma,LAG
8,1508,MYR2559851,11:23:01,11:25:01,V. Sita Naidu,KEM
2,395,AZF6378966,13:26:09,13:29:09,G. Priya Babu,NOD
5,1063,QPK2020398,11:14:15,11:16:15,T. Lakshmi Verma,TIL
1,43,GRX1078167,12:00:20,12:02:20,D. Kavya Das,RYX
1,175,CAK0395795,10:06:48,10:07:48,D. Kavya Das,RYX
6,1224,QUQ7910116,15:14:49,15:15:49,B. Lakshmi Naidu,RYX
2,501,BHC1738008,14:10:29,14:11:29,A. Priya Babu,WUF
3,746,WYB6403016,08:21:44,08:23:44,E. Latha Yadav,ZAR
1,318,FLA3641416,08:21:29,08:24:29,U. Anil Kumar,ZAR
4,818,PKF0286652,11:46:34,11:47:34,O. Ravi Verma,LAG
2,479,ULM3711236,08:54:11,08:56:11,G. Priya Babu,NOD
7,1305,NUO5055691,15:47:16,15:50:16,K. Divya Yadav,VUN
5,1104,FAP8629374,11:13:14,11:15:14,B. Vikram Babu,ZAR
1,23,PEQ6816091,13:54:09,13:56:09,M. Arun Singh,MEX
1,198,CGP5674746,09:26:12,09:28:12,D. Kavya Das,RYX
2,404,EEL5839177,08:48:49,08:49:49,Z. Manoj Sharma,VUN
1,74,IGS2225152,11:02:04,11:05:04,D. Kavya Das,RYX
6,1238,DCS7351708,15:24:11,15:25:11,D. Vikram Joshi,MEX
6,1216,BLX8148666,16:32:29,16:34:29,D. Vikram Joshi,MEX
8,1402,JXV2171028,11:16:28,11:17:28,N. Kiran Babu,WUF
1,106,EQG4139929,12:08:05,12:09:05,D. Kavya Das,RYX
5,1129,JTG8305423,14:09:48,14:10:48,B. Vikram Babu,ZAR
3,636,XHY1264856,08:53:14,08:55:14,A. Rahul Verma,MEX
1,320,VLS1796144,14:13:52,14:14:52,D. Kavya Das,RYX
1,182,WNL9862668,10:57:43,11:00:43,D. Kavya Das,RYX
1,345,HOQ9215091,15:40:47,15:42:47,U. Anil Kumar,ZAR
2,417,LDD0235178,11:58:01,12:01:01,Z. Manoj Sharma,VUN
1,19,ZVN1153717,12:29:28,12:32:28,Q. Lakshmi Kumar,TIL
2,358,RPN0575973,08:23:46,08:26:46,G. Priya Babu,NOD
5,1093,ZGH9907676,12:45:05,12:46:05,T. Lakshmi Verma,TIL
6,1153,MGZ8518683,12:11:42,12:14:42,B. Lakshmi Naidu,RYX
1,82,MSM7270920,08:21:22,08:22:22,Q. Lakshmi Kumar,TIL
4,993,RWX6944227,15:46:59,15:47:59,Q. Radha Yadav,VUN
1,321,YLW8152856,10:21:32,10:23:32,M. Arun Singh,MEX
3,714,WRT5076441,12:16:28,12:18:28,E. Latha Yadav,ZAR
1,216,SGE2080921,11:11:36,11:13:36,M. Arun Singh,MEX
1,150,SQB1593315,09:14:01,09:16:01,Q. Lakshmi Kumar,TIL
2,447,LKK7493897,11:39:58,11:41:58,G. Priya Babu,NOD
5,1110,NJK1492518,11:44:48,11:47:48,B. Vikram Babu,ZAR
1,36,FAZ9874176,08:49:44,08:51:44,D. Kavya Das,RYX
2,415,UTZ0806979,16:55:51,16:56:51,A. Priya Babu,WUF
2,542,AXV6718309,12:29:32,12:31:32,Z. Manoj Sharma,VUN
8,1428,KQS8851662,16:57:25,17:00:25,N. Vijay Das,VUN
1,10,TFD3485352,14:54:26,14:57:26,U. Anil Kumar,ZAR
3,734,DMA3497809,11:28:27,11:30:27,A. Rahul Verma,MEX
4,967,QSZ6681721,11:50:32,11:52:32,K. Rahul Sharma,MEX
8,1478,DJS7010074,12:53:04,12:56:04,N. Kiran Babu,WUF
2,378,XNY8597580,14:14:51,14:15:51,G. Priya Babu,NOD
3,710,VRB6497398,14:50:21,14:52:21,E. Meena Das,LAG
8,1400,NLY4230744,11:28:52,11:30:52,V. Sita Naidu,KEM
8,1383,FVV3710940,15:30:43,15:31:43,V. Sita Naidu,KEM
3,698,NAU1331575,09:03:14,09:04:14,B. Vikram Sharma,VUN
4,858,VFJ5430143,08:25:31,08:26:31,K. Rahul Sharma,MEX
7,1341,YDE5725441,10:46:54,10:49:54,K. Divya Yadav,VUN
2,367,ZRZ2326311,09:49:49,09:52:49,Z. Manoj Sharma,VUN
8,1498,HCZ2971585,12:17:21,12:19:21,N. Vijay Das,VUN
1,20,YPV2869964,12:45:53,12:46:53,D. Kavya Das,RYX
5,1128,GOQ9647488,11:25:41,11:28:41,T. Lakshmi Verma,TIL
1,287,DCE9956757,16:48:37,16:50:37,Q. Lakshmi Kumar,TIL
8,1472,FPX5416904,09:11:22,09:13:22,N. Kiran Babu,WUF
2,473,NNS5541106,10:48:19,10:49:19,G. Priya Babu,NOD
4,1013,UOK3070522,14:12:51,14:15:51,U. Anil Babu,QOP
3,731,CPZ0827778,13:39:34,13:40:34,A. Rahul Verma,MEX
3,582,UHP0227483,08:39:06,08:41:06,E. Latha Yadav,ZAR
3,740,CUY9589392,09:31:18,09:32:18,E. Latha Yadav,ZAR
1,67,QTE4897382,13:23:41,13:24:41,D. Kavya Das,RYX
1,109,XPA5435419,16:52:38,16:55:38,U. Anil Kumar,ZAR
6,1142,PVZ6660306,09:53:41,09:56:41,D. Vikram Joshi,MEX
2,397,ANE2515640,15:40:44,15:43:44,A. Priya Babu,WUF
8,1451,BGF9026494,09:05:39,09:06:39,V. Sita Naidu,KEM
6,1144,YGB0751729,10:53:24,10:54:24,U. Sanjay Yadav,BIR
1,109,TGW2295180,13:03:15,13:04:15,M. Arun Singh,MEX
1,100,LDU3746245,09:54:54,09:56:54,M. Arun Singh,MEX
2,428,WJO5200818,09:39:25,09:41:25,A. Priya Babu,WUF
2,369,DBI9971748,12:23:19,12:24:19,G. Priya Babu,NOD
7,1378,KQZ3537083,15:20:14,15:22:14,V. Priya Babu,LAG
3,753,ARK5842468,09:55:14,09:57:14,A. Rahul Verma,MEX
1,100,KNR0092170,08:02:26,08:03:26,D. Kavya Das,RYX
2,505,SNZ8267438,13:53:04,13:54:04,G. Priya Babu,NOD
2,514,TMU8047377,11:04:01,11:05:01,A. Priya Babu,WUF
8,1470,FRX4645252,13:30:14,13:33:14,Q. Kavya Naidu,ZAR
1,116,KGZ6505516,12:59:08,13:01:08,D. Kavya Das,RYX
1,323,NCU6792926,16:46:43,16:48:43,U. Anil Kumar,ZAR
1,211,OYW8296636,10:20:01,10:21:01,D. Kavya Das,RYX
1,44,UOA5993718,11:37:07,11:39:07,D. Kavya Das,RYX
6,1233,ZLE5673831,12:41:50,12:42:50,D. Vikram Joshi,MEX
1,169,NWF6898584,12:55:49,12:58:49,M. Arun Singh,MEX
1,166,CQN0080825,14:02:25,14:05:25,D. Kavya Das,RYX
2,481,LTO4458568,09:12:16,09:15:16,A. Priya Babu,WUF
6,1180,EAI1237161,09:31:42,09:34:42,D. Vikram Joshi,MEX
4,804,EZE2755756,11:38:12,11:39:12,Q. Radha Yadav,VUN
1,301,KNU1217312,13:22:20,13:23:20,Q. Lakshmi Kumar,TIL
5,1071,BHK3818813,12:55:30,12:58:30,T. Lakshmi Verma,TIL
4,802,ZKN4035902,09:07:33,09:09:33,O. Ravi Verma,LAG
4,989,ZSZ1019207,14:59:32,15:02:32,O. Ravi Verma,LAG
3,608,NVK5666710,11:24:53,11:26:53,E. Latha Yadav,ZAR
1,57,ABX0201115,16:41:56,16:42:56,U. Anil Kumar,ZAR
2,362,OBT5858768,10:12:41,10:13:41,G. Priya Babu,NOD
4,985,LXH8563277,08:44:49,08:47:49,K. Rahul Sharma,MEX
2,359,YDP7007335,14:49:48,14:51:48,A. Priya Babu,WUF
1,189,WXO8075844,13:42:03,13:43:03,D. Kavya Das,RYX
6,1133,VKM5186508,08:47:59,08:49:59,U. Sanjay Yadav,BIR
2,479,BND8826620,09:03:47,09:04:47,Z. Manoj Sharma,VUN
3,680,KIC2274048,11:19:13,11:21:13,E. Latha Yadav,ZAR
2,380,HYE5296288,10:42:37,10:45:37,A. Priya Babu,WUF
3,763,GEF5456812,16:54:21,16:55:21,E. Meena Das,LAG
1,85,FCE2486650,08:02:20,08:04:20,D. Kavya Das,RYX
6,1228,RYM4663431,16:53:09,16:55:09,B. Lakshmi Naidu,RYX
8,1476,OUN9998051,14:00:45,14:01:45,V. Sita Naidu,KEM
1,19,HFR6199184,09:48:07,09:50:07,U. Anil Kumar,ZAR
1,116,OIR2041853,12:25:44,12:28:44,Q. Lakshmi Kumar,TIL
3,594,DLH4189043,12:20:58,12:21:58,B. Vikram Sharma,VUN
7,1272,KOX0528312,14:52:29,14:53:29,C. Latha Singh,BIR
2,351,JVM4179762,09:54:07,09:56:07,G. Priya Babu,NOD
1,135,VMH5266822,11:48:09,11:51:09,M. Arun Singh,MEX
3,711,AGC0530896,08:36:10,08:38:10,E. Meena Das,LAG
6,1210,QKF5522731,13:37:31,13:40:31,U. Sanjay Yadav,BIR
7,1335,ZJQ0888761,09:40:48,09:41:48,V. Priya Babu,LAG
4,925,EQU5062840,11:33:13,11:34:13,Q. Radha Yadav,VUN
3,717,UQH1732024,12:47:51,12:50:51,A. Rahul Verma,MEX
1,162,NEZ1471341,09:58:11,09:59:11,U. Anil Kumar,ZAR
7,1272,ZYT2463052,09:57:16,09:59:16,V. Priya Babu,LAG
1,332,JCY7615424,09:30:53,09:33:53,D. Kavya Das,RYX
7,1304,XZZ7903913,10:38:19,10:41:19,V. Priya Babu,LAG
6,1179,KQF9853348,16:46:18,16:48:18,B. Lakshmi Naidu,RYX
2,493,CKP9607457,08:17:17,08:18:17,G. Priya Babu,NOD
8,1448,RSS1280868,09:28:08,09:31:08,N. Vijay Das,VUN
1,35,RIC7612225,12:20:00,12:22:00,Q. Lakshmi Kumar,TIL
1,160,KQA8771084,09:19:44,09:21:44,D. Kavya Das,RYX
2,426,VEU4668074,13:42:25,13:44:25,A. Priya Babu,WUF
2,420,OKE0029082,13:50:17,13:52:17,A. Priya Babu,WUF
5,1102,OYQ3881541,15:05:33,15:07:33,T. Lakshmi Verma,TIL
7,1375,ZMP2411197,10:33:57,10:34:57,K. Divya Yadav,VUN
3,643,ESU9098384,16:14:34,16:15:34,E. Meena Das,LAG
8,1458,UWE2894947,16:59:44,17:00:44,Q. Kavya Naidu,ZAR
8,1510,PWK8120873,16:53:27,16:56:27,Q. Kavya Naidu,ZAR
4,822,XDY5735099,11:03:58,11:04:58,U. Anil Babu,QOP
2,416,EOL7420199,14:30:19,14:33:19,Z. Manoj Sharma,VUN
4,901,UKK1462893,11:43:00,11:45:00,U. Anil Babu,QOP
2,386,YDD5259178,10:54:34,10:55:34,G. Priya Babu,NOD
1,279,ETE9259124,16:35:31,16:36:31,D. Kavya Das,RYX
1,259,DNT0290886,14:32:49,14:34:49,Q. Lakshmi Kumar,TIL
5,1096,UNI8194054,15:47:40,15:48:40,T. Lakshmi Verma,TIL
7,1263,CMM9139005,09:55:39,09:58:39,C. Latha Singh,BIR
7,1349,QFO6599747,15:55:12,15:56:12,V. Priya Babu,LAG
1,137,YPL2415528,09:33:59,09:34:59,D. Kavya Das,RYX
2,463,HAH2857628,08:59:42,09:02:42,G. Priya Babu,NOD
1,125,TLR7098868,14:31:34,14:34:34,Q. Lakshmi Kumar,TIL
2,429,OJT4905321,10:07:54,10:10:54,Z. Manoj Sharma,VUN
1,349,LSL3164030,15:27:35,15:28:35,D. Kavya Das,RYX
4,832,CRL2786086,13:32:07,13:33:07,O. Ravi Verma,LAG
3,650,MHU4390262,12:20:33,12:21:33,E. Meena Das,LAG
4,973,RWR8249229,12:49:19,12:50:19,U. Anil Babu,QOP
6,1177,DNO4808145,09:27:54,09:28:54,B. Lakshmi Naidu,RYX
3,675,QPA1693834,09:28:35,09:29:35,A. Rahul Verma,MEX
6,1224,MRR8578483,15:20:51,15:22:51,B. Lakshmi Naidu,RYX
7,1370,UMI7129261,12:26:05,12:29:05,K. Divya Yadav,VUN
4,907,GTW1389474,08:14:48,08:16:48,O. Ravi Verma,LAG
2,375,NFV0726794,08:34:54,08:36:54,Z. Manoj Sharma,VUN
4,821,RMF0888837,11:46:42,11:47:42,Q. Radha Yadav,VUN
1,123,LYT7310381,10:40:48,10:43:48,U. Anil Kumar,ZAR
1,57,KNP1038619,08:48:28,08:49:28,Q. Lakshmi Kumar,TIL
3,750,EBJ6226410,12:56:07,12:59:07,B. Vikram Sharma,VUN
3,593,HTD4063170,16:17:00,16:18:00,A. Rahul Verma,MEX
5,1033,NKO8425711,11:19:18,11:20:18,T. Lakshmi Verma,TIL
3,698,YPW8018572,10:59:45,11:01:45,A. Rahul Verma,MEX
1,209,EKJ3619779,08:02:50,08:03:50,D. Kavya Das,RYX
4,1019,LNC7900920,09:34:09,09:35:09,Q. Radha Yadav,VUN
6,1176,RGM9938967,11:33:38,11:36:38,U. Sanjay Yadav,BIR
2,463,SWN1965872,09:00:24,09:02:24,G. Priya Babu,NOD
3,608,ZMH9204059,08:17:16,08:19:16,B. Vikram Sharma,VUN
3,673,LEU0646340,15:24:39,15:27:39,E. Meena Das,LAG
7,1330,VSF4939861,10:10:56,10:12:56,K. Divya Yadav,VUN
1,252,FSS0941038,10:27:08,10:28:08,Q. Lakshmi Kumar,TIL
3,651,PGN7847166,08:07:21,08:09:21,A. Rahul Verma,MEX
7,1286,ZUB5436164,14:58:37,15:01:37,C. Latha Singh,BIR
1,292,OES4112350,14:48:54,14:51:54,U. Anil Kumar,ZAR
8,1388,WQO0375041,08:08:10,08:09:10,N. Kiran Babu,WUF
6,1194,IQV2123817,10:32:05,10:33:05,U. Sanjay Yadav,BIR
8,1444,QMD6707380,16:13:16,16:14:16,N. Vijay Das,VUN
2,521,UTS4998281,08:16:43,08:17:43,G. Priya Babu,NOD
2,527,IEU2990554,13:41:17,13:42:17,G. Priya Babu,NOD
2,519,KLG1843328,16:06:49,16:09:49,A. Priya Babu,WUF
4,845,BLH7401250,13:54:29,13:55:29,Q. Radha Yadav,VUN
4,858,VPT4200158,14:59:12,15:02:12,Q. Radha Yadav,VUN
3,613,SYG1422840,12:34:01,12:36:01,E. Meena Das,LAG
2,567,RYP2044028,11:01:52,11:02:52,Z. Manoj Sharma,VUN
3,778,EWC3771470,15:55:18,15:58:18,B. Vikram Sharma,VUN
6,1210,SEE4032014,10:30:02,10:32:02,B. Lakshmi Naidu,RYX
1,80,DUQ4547646,14:18:54,14:21:54,Q. Lakshmi Kumar,TIL
3,755,RCK6367600,13:26:09,13:27:09,E. Latha Yadav,ZAR
1,82,DDC2930063,14:27:03,14:28:03,M. Arun Singh,MEX
3,704,XLW2252889,11:21:21,11:24:21,E. Latha Yadav,ZAR
2,411,GMD6044861,09:34:03,09:35:03,A. Priya Babu,WUF
4,809,CWY3015656,08:02:55,08:04:55,Q. Radha Yadav,VUN
2,494,MXC0063974,10:54:48,10:56:48,Z. Manoj Sharma,VUN
8,1440,BRZ9784235,12:08:17,12:11:17,Q. Kavya Naidu,ZAR
6,1210,XOA0832239,10:57:29,10:59:29,B. Lakshmi Naidu,RYX
6,1226,EXC6031246,13:24:52,13:26:52,D. Vikram Joshi,MEX
7,1321,GLI1009387,09:04:59,09:05:59,V. Priya Babu,LAG
5,1072,OVC6357363,10:31:51,10:34:51,D. Manoj Joshi,QOP
3,584,XYU9951745,09:31:11,09:33:11,A. Rahul Verma,MEX
1,23,XIS3810451,13:47:39,13:49:39,D. Kavya Das,RYX
1,219,BFP9069789,08:44:25,08:45:25,U. Anil Kumar,ZAR
2,482,IOL1231721,13:29:30,13:32:30,A. Priya Babu,WUF
1,178,YVR5569204,14:37:00,14:38:00,M. Arun Singh,MEX
2,375,NVQ3886456,14:32:33,14:34:33,A. Priya Babu,WUF
3,712,RMF9717754,14:12:41,14:13:41,B. Vikram Sharma,VUN
4,864,RED9839196,14:51:21,14:53:21,Q. Radha Yadav,VUN
6,1148,KMC0855256,12:32:31,12:35:31,D. Vikram Joshi,MEX
1,92,WLL3917734,08:31:20,08:32:20,D. Kavya Das,RYX
1,169,OCU7939780,15:32:37,15:33:37,U. Anil Kumar,ZAR
8,1481,ZWF2370967,09:03:21,09:05:21,Q. Kavya Naidu,ZAR
6,1152,WFD8557084,09:46:55,09:49:55,B. Lakshmi Naidu,RYX
