CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED
3,769,LML5542457,13:33:04,13:36:04,candidate a
6,1209,DPX8844991,09:59:12,10:02:12,candidate c
4,985,KXB3547728,11:26:52,11:29:52,candidate c
8,1488,LDJ2330184,10:40:09,10:43:09,candidate b
1,158,SMA9505426,10:24:51,10:27:51,candidate b
1,148,ING6155553,10:25:35,10:26:35,candidate b
1,181,VHK2674104,08:55:27,08:58:27,candidate b
1,208,KMJ1679808,13:56:21,13:58:21,candidate c
8,1492,PAL2818304,16:46:48,16:48:48,candidate b
5,1121,FZM3245814,12:43:21,12:46:21,candidate a
5,1068,EGL2843114,12:02:30,12:05:30,candidate c
2,572,XEP7591996,09:30:36,09:31:36,candidate a
6,1246,CRI7677206,08:39:33,08:40:33,candidate b
3,619,DET7416676,08:21:47,08:23:47,candidate b
7,1310,BNW6410839,16:34:57,16:36:57,candidate b
1,207,YFO0686839,13:58:57,14:01:57,candidate b
6,1132,LFK6321401,16:36:34,16:39:34,candidate b
1,51,KUX8701236,14:02:52,14:04:52,candidate b
1,116,KGV3156648,11:49:36,11:51:36,candidate b
3,583,JFM6939028,10:22:21,10:25:21,candidate b
1,55,TXO7703033,12:27:42,12:29:42,candidate a
6,1198,PJZ7116689,14:08:59,14:11:59,candidate a
2,545,GAF5147236,10:22:50,10:25:50,candidate b
3,629,CPN0897032,12:10:16,12:13:16,candidate a
2,464,MPZ3516754,09:50:41,09:53:41,candidate a
4,877,TFU2748021,09:16:09,09:18:09,candidate a
1,80,WBD0245024,12:18:21,12:19:21,candidate b
7,1317,XVB9230874,13:18:54,13:19:54,candidate b
6,1152,SLY4638717,09:46:13,09:48:13,candidate b
1,67,BIU9520113,16:00:31,16:02:31,candidate a
4,956,SSW6325979,13:18:41,13:20:41,candidate c
5,1065,JBV4528516,08:23:19,08:26:19,candidate b
2,433,ONE8920670,14:02:56,14:04:56,candidate b
6,1199,MXH0692933,12:30:56,12:32:56,candidate b
2,541,MDH1237787,11:14:03,11:15:03,candidate b
2,389,IPR1891730,08:03:40,08:05:40,candidate b
3,588,GLO2525320,16:51:25,16:53:25,candidate a
1,122,TPH9927060,16:10:45,16:12:45,candidate c
5,1096,LEM1412832,14:02:23,14:05:23,candidate c
2,394,APE6082838,11:35:28,11:36:28,candidate b
6,1211,KJI6883114,10:22:06,10:24:06,candidate a
1,348,XTV0636410,11:54:54,11:55:54,candidate a
1,126,AFI7910997,11:39:21,11:41:21,candidate a
3,589,SYE8810761,13:35:51,13:36:51,candidate b
4,800,YBL6327164,09:44:52,09:45:52,candidate c
1,109,LXE4487234,13:57:41,13:59:41,candidate c
2,473,FAG0916594,15:21:24,15:24:24,candidate a
3,672,KLT8301304,10:24:44,10:26:44,candidate c
1,168,ZWG6968815,13:42:25,13:43:25,candidate c
1,92,MRC3696180,09:13:47,09:15:47,candidate a
1,177,IID9556882,08:14:06,08:17:06,candidate a
1,109,OLU2388663,14:19:15,14:20:15,candidate c
2,572,XRE3276353,15:46:44,15:47:44,candidate a
3,765,WHT1195766,13:01:01,13:02:01,candidate c
2,553,BFF6092690,10:26:27,10:27:27,candidate a
2,522,FPD2361952,08:36:23,08:39:23,candidate c
3,661,APH4050032,11:19:58,11:20:58,candidate b
6,1180,BDK6164273,10:47:20,10:48:20,candidate c
2,564,AVL2741788,16:49:23,16:51:23,candidate c
6,1190,RSJ0096133,10:39:07,10:42:07,candidate b
1,338,ZNQ8863497,09:35:39,09:36:39,candidate b
1,130,FSH8420734,13:34:53,13:36:53,candidate a
1,99,LTH7062993,12:08:13,12:10:13,candidate a
2,487,EYV0877320,12:08:56,12:11:56,candidate c
2,464,AVJ4036198,13:12:10,13:14:10,candidate c
4,904,KCR3661736,15:30:18,15:31:18,candidate c
7,1271,PMU4862001,16:14:04,16:16:04,candidate b
1,167,YTG5108111,15:19:58,15:22:58,candidate b
1,21,LOW8914647,10:22:38,10:23:38,candidate b
1,97,OBC5033968,16:33:57,16:36:57,candidate b
8,1462,OGZ6059799,16:17:25,16:18:25,candidate a
5,1111,BDG6845862,13:54:52,13:56:52,candidate b
8,1433,CDY8456818,16:27:54,16:28:54,candidate c
3,746,QYY8300873,11:52:19,11:53:19,candidate a
2,401,SEX7707342,12:51:05,12:52:05,candidate c
4,797,RFB8748412,08:37:04,08:39:04,candidate a
1,238,CGX4229714,10:25:48,10:28:48,candidate a
4,944,TDG5422456,09:57:14,09:58:14,candidate c
1,104,CGP9589355,11:08:39,11:11:39,candidate c
5,1112,SMO9194619,10:00:40,10:02:40,candidate b
1,350,RJK6054813,08:48:52,08:50:52,candidate b
1,340,CJM0813800,15:51:47,15:54:47,candidate a
1,224,RDU7444297,09:25:37,09:28:37,candidate a
5,1111,PHW5209768,15:53:24,15:55:24,candidate b
3,751,LPX5615542,11:16:58,11:18:58,candidate c
2,380,LCR1927110,15:52:58,15:55:58,candidate a
4,854,GMR9636767,15:20:38,15:22:38,candidate b
3,695,DTK7006054,15:34:26,15:36:26,candidate b
8,1444,VJD0012280,08:01:56,08:02:56,candidate b
7,1371,JCA4366565,16:49:38,16:51:38,candidate c
4,892,TVB9646387,10:47:35,10:48:35,candidate a
4,856,TCL3526754,13:00:55,13:02:55,candidate c
2,372,LPZ4083467,09:52:57,09:54:57,candidate a
1,285,EUB0334818,14:44:19,14:45:19,candidate c
1,238,MUS3875030,08:54:34,08:55:34,candidate c
1,14,WUJ4523293,12:29:33,12:31:33,candidate c
3,657,GMS5378241,12:10:55,12:12:55,candidate b
2,466,WPD9734353,11:16:05,11:18:05,candidate c
3,609,WNW7613520,10:08:49,10:09:49,candidate a
5,1054,BEL2211884,11:56:19,11:58:19,candidate b
1,145,PUV1270725,10:48:09,10:51:09,candidate a
2,567,GFR8372843,10:30:06,10:32:06,candidate b
2,361,RXP6519072,10:49:34,10:50:34,candidate c
3,653,WQS3322951,10:20:12,10:23:12,candidate a
1,91,TQX1457271,08:05:46,08:07:46,candidate a
2,434,FLE2517131,09:15:57,09:16:57,candidate c
1,158,MYR2559851,13:03:17,13:06:17,candidate c
1,57,AZF6378966,15:59:32,16:00:32,candidate a
6,1183,QPK2020398,11:34:58,11:36:58,candidate a
2,355,GRX1078167,08:36:50,08:37:50,candidate c
8,1392,CAK0395795,11:52:00,11:55:00,candidate a
2,464,QUQ7910116,11:02:14,11:04:14,candidate a
1,346,BHC1738008,08:52:22,08:53:22,candidate a
1,201,WYB6403016,10:34:48,10:37:48,candidate c
4,820,FLA3641416,14:31:11,14:32:11,candidate a
3,600,PKF0286652,12:26:50,12:27:50,candidate a
4,880,ULM3711236,12:51:04,12:52:04,candidate a
1,344,NUO5055691,14:08:52,14:11:52,candidate c
4,863,FAP8629374,16:22:44,16:25:44,candidate b
1,203,PEQ6816091,15:52:39,15:54:39,candidate c
7,1353,CGP5674746,08:21:50,08:24:50,candidate a
1,334,EEL5839177,14:05:22,14:06:22,candidate b
1,320,IGS2225152,11:21:14,11:22:14,candidate b
1,7,DCS7351708,11:08:34,11:10:34,candidate c
3,606,BLX8148666,09:33:53,09:34:53,candidate a
8,1483,JXV2171028,14:10:04,14:13:04,candidate a
2,496,EQG4139929,10:16:36,10:17:36,candidate b
7,1338,JTG8305423,09:55:26,09:57:26,candidate c
7,1289,XHY1264856,13:43:44,13:45:44,candidate c
5,1086,VLS1796144,09:20:30,09:22:30,candidate c
3,725,WNL9862668,10:20:58,10:23:58,candidate a
3,773,HOQ9215091,14:30:20,14:33:20,candidate c
8,1469,LDD0235178,13:18:38,13:21:38,candidate c
2,456,ZVN1153717,09:48:56,09:50:56,candidate a
4,978,RPN0575973,12:37:37,12:38:37,candidate c
6,1154,ZGH9907676,14:06:20,14:08:20,candidate a
2,378,MGZ8518683,15:13:36,15:14:36,candidate c
2,479,MSM7270920,14:18:02,14:21:02,candidate a
1,9,RWX6944227,09:06:06,09:07:06,candidate a
2,567,YLW8152856,09:38:38,09:41:38,candidate b
6,1216,WRT5076441,12:21:38,12:23:38,candidate c
5,1058,SGE2080921,11:57:22,11:59:22,candidate b
2,363,SQB1593315,11:22:32,11:24:32,candidate c
3,621,LKK7493897,09:55:43,09:58:43,candidate a
3,687,NJK1492518,12:32:28,12:35:28,candidate c
4,793,FAZ9874176,08:58:02,09:00:02,candidate c
4,925,UTZ0806979,10:27:58,10:29:58,candidate a
1,239,AXV6718309,09:08:44,09:09:44,candidate a
2,427,KQS8851662,13:56:18,13:59:18,candidate c
6,1140,TFD3485352,13:03:54,13:04:54,candidate c
6,1134,DMA3497809,11:45:05,11:48:05,candidate c
5,1094,QSZ6681721,13:36:42,13:37:42,candidate a
5,1035,DJS7010074,14:30:49,14:31:49,candidate c
2,451,XNY8597580,09:57:52,10:00:52,candidate c
6,1230,VRB6497398,15:33:23,15:36:23,candidate b
6,1207,NLY4230744,08:58:45,09:00:45,candidate c
2,516,FVV3710940,15:24:42,15:26:42,candidate b
4,1019,NAU1331575,08:01:17,08:04:17,candidate b
5,1097,VFJ5430143,09:56:55,09:58:55,candidate a
3,597,YDE5725441,15:39:34,15:40:34,candidate c
4,975,ZRZ2326311,11:29:00,11:31:00,candidate c
2,461,HCZ2971585,16:12:39,16:13:39,candidate a
1,107,YPV2869964,10:55:37,10:56:37,candidate c
3,617,GOQ9647488,16:28:36,16:31:36,candidate b
1,79,DCE9956757,09:20:36,09:23:36,candidate c
7,1345,FPX5416904,09:24:27,09:26:27,candidate a
3,713,NNS5541106,10:23:49,10:25:49,candidate b
5,1057,UOK3070522,12:35:37,12:37:37,candidate c
1,156,CPZ0827778,15:42:43,15:45:43,candidate c
4,995,UHP0227483,10:05:36,10:06:36,candidate a
1,161,CUY9589392,09:29:52,09:32:52,candidate b
1,183,QTE4897382,08:51:18,08:52:18,candidate b
1,344,XPA5435419,15:15:16,15:17:16,candidate b
4,791,PVZ6660306,13:48:02,13:50:02,candidate b
2,468,ANE2515640,12:29:02,12:30:02,candidate c
7,1304,BGF9026494,15:00:52,15:03:52,candidate b
7,1260,YGB0751729,14:27:00,14:29:00,candidate c
5,1114,TGW2295180,15:05:53,15:06:53,candidate c
3,645,LDU3746245,16:29:19,16:32:19,candidate b
1,176,WJO5200818,08:31:20,08:32:20,candidate c
1,278,DBI9971748,16:38:36,16:41:36,candidate a
3,697,KQZ3537083,14:10:48,14:13:48,candidate b
1,196,ARK5842468,11:24:56,11:26:56,candidate c
8,1520,KNR0092170,09:19:44,09:20:44,candidate a
2,539,SNZ8267438,09:19:41,09:21:41,candidate b
3,734,TMU8047377,13:12:28,13:15:28,candidate a
3,608,FRX4645252,11:24:03,11:27:03,candidate b
4,859,KGZ6505516,08:10:02,08:13:02,candidate c
4,825,NCU6792926,16:10:34,16:13:34,candidate c
8,1383,OYW8296636,14:44:14,14:47:14,candidate a
2,414,UOA5993718,15:26:54,15:27:54,candidate b
2,560,ZLE5673831,10:45:07,10:47:07,candidate b
3,637,NWF6898584,11:40:40,11:41:40,candidate b
4,882,CQN0080825,09:07:19,09:10:19,candidate c
1,15,LTO4458568,09:35:29,09:36:29,candidate c
1,219,EAI1237161,15:12:08,15:13:08,candidate c
4,815,EZE2755756,15:46:43,15:47:43,candidate b
2,381,KNU1217312,10:40:30,10:41:30,candidate c
4,867,BHK3818813,16:18:16,16:21:16,candidate b
2,432,ZKN4035902,14:29:34,14:30:34,candidate b
3,751,ZSZ1019207,12:31:28,12:34:28,candidate a
4,932,NVK5666710,10:06:30,10:09:30,candidate b
4,871,ABX0201115,13:44:58,13:45:58,candidate a
3,782,OBT5858768,10:10:56,10:12:56,candidate a
7,1318,LXH8563277,14:39:02,14:42:02,candidate a
3,759,YDP7007335,15:55:35,15:57:35,candidate a
1,347,WXO8075844,09:58:57,10:01:57,candidate a
6,1173,VKM5186508,14:37:16,14:39:16,candidate c
5,1077,BND8826620,13:19:09,13:22:09,candidate a
4,802,KIC2274048,08:07:15,08:08:15,candidate c
3,734,HYE5296288,12:55:48,12:56:48,candidate c
4,1017,GEF5456812,09:25:16,09:27:16,candidate c
1,219,FCE2486650,08:15:53,08:16:53,candidate a
2,358,RYM4663431,11:02:19,11:05:19,candidate a
8,1425,OUN9998051,16:13:30,16:15:30,candidate b
4,941,HFR6199184,09:46:30,09:49:30,candidate c
1,339,OIR2041853,14:11:35,14:14:35,candidate a
7,1300,DLH4189043,13:53:11,13:56:11,candidate c
2,397,KOX0528312,09:16:46,09:19:46,candidate c
3,729,JVM4179762,14:06:24,14:09:24,candidate c
7,1308,VMH5266822,15:17:54,15:20:54,candidate c
3,730,AGC0530896,10:10:12,10:13:12,candidate a
3,765,QKF5522731,16:36:08,16:38:08,candidate b
4,892,ZJQ0888761,16:32:53,16:35:53,candidate c
1,137,EQU5062840,13:45:56,13:48:56,candidate c
2,489,UQH1732024,10:01:52,10:02:52,candidate a
7,1370,NEZ1471341,15:49:38,15:51:38,candidate c
1,102,ZYT2463052,11:13:23,11:14:23,candidate a
1,189,JCY7615424,13:24:44,13:25:44,candidate c
1,215,XZZ7903913,16:43:38,16:46:38,candidate b
1,196,KQF9853348,13:20:54,13:23:54,candidate c
4,909,CKP9607457,16:56:10,16:57:10,candidate c
5,1094,RSS1280868,12:22:12,12:23:12,candidate c
1,253,RIC7612225,14:41:09,14:42:09,candidate b
1,145,KQA8771084,11:47:17,11:49:17,candidate c
2,431,VEU4668074,14:52:46,14:53:46,candidate a
7,1372,OKE0029082,11:40:27,11:43:27,candidate a
1,42,OYQ3881541,10:48:33,10:49:33,candidate a
7,1347,ZMP2411197,11:26:44,11:28:44,candidate b
3,764,ESU9098384,08:06:19,08:09:19,candidate c
4,843,UWE2894947,09:18:35,09:19:35,candidate b
2,443,PWK8120873,14:14:41,14:16:41,candidate a
8,1431,XDY5735099,09:19:08,09:21:08,candidate c
6,1179,EOL7420199,15:54:31,15:57:31,candidate b
1,255,UKK1462893,11:40:24,11:42:24,candidate c
2,501,YDD5259178,09:23:04,09:25:04,candidate c
7,1344,ETE9259124,14:37:16,14:38:16,candidate a
4,897,DNT0290886,08:40:36,08:42:36,candidate a
6,1184,UNI8194054,09:50:35,09:53:35,candidate a
2,518,CMM9139005,13:18:35,13:21:35,candidate b
1,172,QFO6599747,09:43:41,09:46:41,candidate a
8,1497,YPL2415528,13:49:19,13:50:19,candidate b
3,749,HAH2857628,09:58:56,09:59:56,candidate b
1,306,TLR7098868,13:57:44,14:00:44,candidate c
1,298,OJT4905321,08:19:09,08:20:09,candidate b
1,66,LSL3164030,13:46:43,13:48:43,candidate b
6,1141,CRL2786086,15:52:02,15:53:02,candidate b
3,691,MHU4390262,15:44:47,15:47:47,candidate c
7,1293,RWR8249229,13:58:04,14:01:04,candidate c
3,609,DNO4808145,08:40:25,08:41:25,candidate b
8,1395,QPA1693834,09:22:35,09:24:35,candidate c
7,1311,MRR8578483,09:39:07,09:42:07,candidate c
7,1337,UMI7129261,08:08:45,08:11:45,candidate a
5,1089,GTW1389474,10:11:49,10:13:49,candidate c
8,1452,NFV0726794,15:12:46,15:13:46,candidate b
4,865,RMF0888837,09:42:32,09:44:32,candidate b
7,1360,LYT7310381,11:49:45,11:52:45,candidate b
3,768,KNP1038619,14:24:10,14:26:10,candidate a
3,618,EBJ6226410,15:15:21,15:17:21,candidate a
8,1404,HTD4063170,09:16:14,09:19:14,candidate b
8,1413,NKO8425711,10:45:07,10:46:07,candidate b
7,1307,YPW8018572,12:18:27,12:20:27,candidate c
1,326,EKJ3619779,12:13:32,12:14:32,candidate b
1,196,LNC7900920,09:39:41,09:41:41,candidate a
5,1078,RGM9938967,13:27:26,13:28:26,candidate c
7,1303,SWN1965872,16:02:19,16:05:19,candidate b
8,1511,ZMH9204059,15:44:58,15:46:58,candidate c
1,109,LEU0646340,16:43:06,16:46:06,candidate c
1,275,VSF4939861,14:32:24,14:33:24,candidate c
1,40,FSS0941038,16:02:46,16:05:46,candidate c
1,293,PGN7847166,12:04:58,12:06:58,candidate c
3,603,ZUB5436164,14:50:43,14:51:43,candidate a
3,647,OES4112350,14:27:00,14:28:00,candidate c
4,902,WQO0375041,16:03:08,16:04:08,candidate b
7,1354,IQV2123817,14:13:29,14:14:29,candidate a
3,768,QMD6707380,08:19:03,08:20:03,candidate b
2,473,UTS4998281,09:27:06,09:28:06,candidate b
8,1516,IEU2990554,16:55:48,16:57:48,candidate b
3,770,KLG1843328,14:16:13,14:18:13,candidate a
2,549,BLH7401250,15:02:46,15:04:46,candidate b
5,1099,VPT4200158,16:58:38,17:00:38,candidate b
2,362,SYG1422840,10:00:59,10:01:59,candidate b
4,940,RYP2044028,13:18:53,13:21:53,candidate c
8,1509,EWC3771470,16:08:12,16:10:12,candidate b
4,799,SEE4032014,12:27:31,12:29:31,candidate a
2,519,DUQ4547646,14:31:03,14:32:03,candidate a
4,853,RCK6367600,14:14:57,14:15:57,candidate a
2,451,DDC2930063,15:41:34,15:42:34,candidate b
5,1040,XLW2252889,08:39:14,08:40:14,candidate c
4,897,GMD6044861,16:00:28,16:01:28,candidate c
4,1010,CWY3015656,15:53:55,15:54:55,candidate b
7,1291,MXC0063974,14:17:47,14:20:47,candidate b
5,1048,BRZ9784235,10:27:54,10:29:54,candidate c
5,1060,XOA0832239,11:00:12,11:01:12,candidate b
4,968,EXC6031246,15:04:08,15:06:08,candidate b
1,260,GLI1009387,09:49:59,09:52:59,candidate c
3,639,OVC6357363,15:37:09,15:38:09,candidate a
1,280,XYU9951745,11:04:45,11:05:45,candidate a
7,1264,XIS3810451,09:44:28,09:47:28,candidate a
8,1499,BFP9069789,11:08:58,11:09:58,candidate a
2,367,IOL1231721,14:54:04,14:55:04,candidate b
4,855,YVR5569204,09:41:59,09:43:59,candidate c
6,1167,NVQ3886456,16:03:29,16:05:29,candidate b
8,1399,RMF9717754,09:04:46,09:05:46,candidate b
5,1123,RED9839196,16:23:16,16:24:16,candidate b
3,713,KMC0855256,11:16:15,11:19:15,candidate a
3,656,WLL3917734,15:48:56,15:50:56,candidate b
3,741,OCU7939780,09:48:22,09:49:22,candidate c
4,972,ZWF2370967,10:59:11,11:02:11,candidate a
5,1055,WFD8557084,10:41:30,10:42:30,candidate b
2,498,NYL7863732,13:56:13,13:57:13,candidate c
4,858,SYF4614323,12:11:36,12:12:36,candidate b
5,1025,KEL9599659,08:05:18,08:06:18,candidate c
5,1061,ZBQ8489114,15:52:04,15:55:04,candidate a
7,1370,AAU4679445,09:43:30,09:46:30,candidate a
4,866,LDM4247947,12:19:13,12:22:13,candidate a
7,1263,VKB9193494,15:26:50,15:27:50,candidate a
3,602,UCC9145236,16:20:49,16:22:49,candidate c
4,796,WVK2602742,16:31:36,16:34:36,candidate a
1,287,FZR2974963,09:05:35,09:08:35,candidate a
3,664,GAQ7211974,14:44:42,14:46:42,candidate b
2,417,VKO7538612,11:31:43,11:33:43,candidate b
4,849,PNI3615403,13:15:20,13:16:20,candidate b
3,722,NPK3542235,13:45:50,13:46:50,candidate a
2,366,KGN4664717,09:58:31,10:00:31,candidate b
2,371,YCK5328941,11:45:36,11:48:36,candidate c
3,591,DID9452446,10:46:22,10:48:22,candidate c
2,425,NUP3135047,08:11:22,08:12:22,candidate c
1,27,ZJT8105727,10:53:32,10:56:32,candidate c
8,1446,UNL6610454,10:39:10,10:42:10,candidate a
2,578,TPV9176768,16:54:13,16:57:13,candidate b
5,1082,HMA9665698,16:14:13,16:15:13,candidate a
8,1390,LUZ5948991,16:58:35,17:01:35,candidate b
6,1138,HZH8841730,13:44:07,13:45:07,candidate a
1,256,BUC6395983,16:38:30,16:40:30,candidate a
8,1424,DXS4749989,12:00:56,12:01:56,candidate a
3,785,IPK3770030,10:01:55,10:02:55,candidate b
7,1268,JXQ1807057,13:23:23,13:25:23,candidate b
1,294,JKR8570099,12:56:10,12:57:10,candidate c
3,590,SSE4937527,13:21:44,13:23:44,candidate a
3,751,FTO8468896,10:37:23,10:40:23,candidate c
7,1379,KPF0067364,15:59:19,16:01:19,candidate a
5,1039,KNL9085278,14:15:28,14:18:28,candidate a
4,1013,PQK5592723,12:01:03,12:02:03,candidate b
4,967,VIF7038714,15:08:58,15:10:58,candidate c
5,1054,RGV3218516,14:59:18,15:00:18,candidate b
3,702,PPE3790034,08:43:10,08:46:10,candidate c
6,1143,CAA0964235,09:10:47,09:12:47,candidate b
1,228,WBC7425691,09:37:40,09:40:40,candidate a
5,1068,QRB0181133,16:41:21,16:42:21,candidate b
2,376,CNL3262600,14:39:05,14:41:05,candidate b
5,1086,NAL4246022,13:26:06,13:27:06,candidate b
5,1023,NUI5546388,15:00:23,15:02:23,candidate c
6,1224,RJE7215099,15:21:12,15:22:12,candidate c
2,479,ZJQ1027028,11:55:10,11:56:10,candidate a
1,163,QZV9493033,14:18:41,14:21:41,candidate a
7,1309,ZTO7080335,15:19:07,15:20:07,candidate c
2,520,GUL5506942,10:55:58,10:57:58,candidate a
6,1212,CBW2063181,10:50:26,10:51:26,candidate a
5,1110,SXM0295211,15:04:09,15:07:09,candidate b
8,1475,DYD8149857,12:16:22,12:19:22,candidate a
7,1320,TRE2372826,10:50:33,10:52:33,candidate b
1,325,OQU0045316,13:34:00,13:35:00,candidate b
3,591,PYO3618138,09:18:37,09:21:37,candidate b
2,499,JUN8727162,14:17:08,14:19:08,candidate b
2,450,BVE1675550,08:14:07,08:17:07,candidate a
2,377,UND7708655,11:07:10,11:10:10,candidate c
1,329,EXZ9956309,15:46:35,15:47:35,candidate a
5,1027,HIA3919965,12:50:34,12:51:34,candidate a
3,763,CBS2285189,12:04:25,12:07:25,candidate b
1,191,OIY8285888,16:48:25,16:50:25,candidate c
1,17,YYM6613678,08:12:43,08:15:43,candidate a
3,745,FVR6985012,13:15:13,13:16:13,candidate a
4,903,XJL7961874,15:44:02,15:47:02,candidate b
5,1120,AVE8706500,08:37:14,08:38:14,candidate b
7,1283,ZXW9526711,14:02:15,14:03:15,candidate c
8,1426,KSL3033452,12:12:59,12:14:59,candidate c
6,1213,SGS6790572,12:53:59,12:54:59,candidate b
1,38,PCA4678044,12:52:14,12:53:14,candidate b
8,1497,VUL3050252,10:34:51,10:37:51,candidate c
4,998,CSL1188043,09:11:28,09:14:28,candidate c
2,419,EHE1115257,08:48:59,08:49:59,candidate a
1,257,OFD0111005,15:06:37,15:08:37,candidate c
8,1419,UGZ8269235,09:32:08,09:34:08,candidate b
1,121,SNO4084811,11:00:28,11:03:28,candidate c
7,1287,LAH2601262,08:30:10,08:31:10,candidate a
1,120,WES6013859,15:53:36,15:56:36,candidate a
6,1153,UUC7084484,11:31:59,11:33:59,candidate b
1,213,EDI2181262,12:11:54,12:12:54,candidate a
1,143,CAM2786521,10:22:32,10:25:32,candidate c
2,533,YNO0089095,14:56:33,14:59:33,candidate c
6,1211,BBN4658636,09:05:03,09:06:03,candidate b
2,574,GUM5663503,11:50:34,11:51:34,candidate c
2,460,WOG3241209,14:21:53,14:22:53,candidate b
4,910,UPF2169333,15:37:19,15:40:19,candidate b
7,1253,VOR0496697,12:14:27,12:15:27,candidate c
4,938,TCI7739171,08:40:13,08:43:13,candidate a
1,347,PWS8719749,15:35:47,15:38:47,candidate a
8,1432,MVZ8871034,15:48:39,15:50:39,candidate b
1,102,ZXV9711948,15:19:20,15:21:20,candidate a
1,143,EGA3261827,11:32:52,11:34:52,candidate b
3,675,PCW4685842,13:50:08,13:52:08,candidate b
5,1083,KTO5602338,08:03:01,08:06:01,candidate b
8,1484,LVQ3410183,15:32:20,15:33:20,candidate a
1,320,SII3986082,12:26:08,12:27:08,candidate a
7,1329,PKL4099345,09:23:27,09:26:27,candidate c
2,472,ZIV2390951,12:59:31,13:01:31,candidate c
1,46,TRY7208591,14:37:24,14:39:24,candidate c
4,866,WCA0219073,10:12:54,10:13:54,candidate c
3,649,AXQ3255189,14:04:23,14:07:23,candidate b
4,912,GPP2123043,08:22:47,08:25:47,candidate a
3,709,YJF4814064,08:20:39,08:23:39,candidate a
6,1150,VKK1719858,10:14:34,10:15:34,candidate b
1,250,RZS3683843,13:32:00,13:35:00,candidate a
2,361,OHZ8289401,13:05:58,13:08:58,candidate c
2,507,FUL8963951,12:07:25,12:09:25,candidate c
4,864,QJE5861335,11:57:45,11:58:45,candidate b
1,121,RLG4428881,08:19:58,08:20:58,candidate c
4,1010,RSZ0258513,10:20:19,10:21:19,candidate a
1,335,JQN5264736,11:08:39,11:11:39,candidate c
1,193,YIF8335482,08:11:49,08:13:49,candidate b
7,1272,CUC9391724,10:44:16,10:46:16,candidate b
7,1332,HHD6946204,14:21:54,14:23:54,candidate b
3,750,WAD8082717,10:04:16,10:06:16,candidate a
1,192,SSK6719509,16:56:04,16:59:04,candidate c
3,772,PES1396568,10:52:02,10:53:02,candidate b
4,960,NXT3422975,13:39:13,13:41:13,candidate c
6,1200,JFI8649555,09:07:28,09:09:28,candidate c
3,693,WYG5883656,10:14:24,10:15:24,candidate b
1,252,DUB3957398,15:42:57,15:45:57,candidate b
6,1244,WLU6809219,10:55:34,10:58:34,candidate b
4,948,YUH6526509,10:41:26,10:43:26,candidate a
