Voter ID,Name,Gender,Age
AMI6831880,T. Divya Verma,Female,34
SRP3397464,C. Ravi Yadav,Male,31
VJT2107587,H. Meena Babu,Female,34
CMI0336986,H. Sanjay Babu,Male,34
USB4414833,L. Sita Naidu,Female,58
GCI8109939,A. Latha Yadav,Female,38
BIZ4595620,N. Sneha Kumar,Female,21
VQM0269417,C. Latha Naidu,Female,62
XJL2422076,F. Priya Yadav,Female,62
BKN9695223,H. Vijay Das,Male,49
DYL9121006,V. Sanjay Babu,Male,63
COO8590757,X. Sanjay Reddy,Male,31
TYY5125343,S. Suresh Babu,Male,55
RKK8604233,T. Sita Babu,Female,61
ZLV2461287,E. Priya Naidu,Female,46
KUN5182000,J. Meena Das,Female,23
RGM4945382,M. Priya Reddy,Female,36
UFF2265896,F. Arun Babu,Male,44
UHZ6433246,I. Latha Babu,Female,30
PHC0968278,U. Sita Babu,Female,27
KID0429475,Z. Latha Babu,Female,35
NVV8101287,V. Vikram Yadav,Male,49
KXJ5410656,H. Ravi Naidu,Male,48
BWD2459437,J. Meena Singh,Female,36
AHT1747066,U. Anil Sharma,Male,62
YXT5007283,G. Divya Yadav,Female,57
VHH7538939,F. Vijay Reddy,Male,53
SDT5136082,H. Latha Verma,Female,35
KJO4166366,W. Ravi Reddy,Male,22
DCC1125272,X. Sneha Babu,Female,30
ACC5497079,H. Vikram Sharma,Male,63
VWW3641880,B. Rahul Reddy,Male,59
WCV1492387,T. Anil Naidu,Male,33
XMO4676887,D. Suresh Singh,Male,28
BRA8577298,O. Manoj Sharma,Male,61
DVX6095441,V. Vikram Singh,Male,57
OJV0450439,Q. Anjali Verma,Female,47
ACP6352693,R. Kiran Das,Male,27
PSJ4060367,Y. Manoj Babu,Male,38
CPE9347714,W. Sita Singh,Female,28
ATO4597961,E. Manoj Joshi,Male,59
WKP6233281,K. Kiran Das,Male,27
RXD7915677,T. Meena Naidu,Female,46
ADR1712286,Q. Meena Reddy,Female,56
WTO2772693,T. Meena Das,Female,36
VXS6756792,T. Sita Joshi,Female,23
BHG1804909,D. Suresh Singh,Male,25
UIF1054502,L. Manoj Reddy,Male,45
NZV9064966,G. Anil Babu,Male,48
SAN7554263,I. Kiran Das,Male,47
FQF6828874,A. Suresh Reddy,Male,27
BEG0894443,B. Arun Reddy,Male,32
BWJ5266293,Y. Meena Babu,Female,29
UWH6289869,E. Suresh Singh,Male,61
KOC2772981,S. Ravi Babu,Male,31
ROB7956062,D. Sanjay Kumar,Male,38
CQX3463553,V. Anil Verma,Male,62
HJR3447416,W. Latha Singh,Female,57
SXW6857202,I. Suresh Reddy,Male,43
NCJ0299671,E. Kavya Joshi,Female,31
YBT2226573,X. Sanjay Joshi,Male,34
QHT5533580,W. Sita Das,Female,22
XAW4252116,P. Anjali Joshi,Female,52
MPQ4215158,P. Kiran Joshi,Male,39
POA7620498,Q. Suresh Singh,Male,23
VER2734523,Z. Kiran Babu,Male,38
VPE9585706,V. Vikram Singh,Male,20
LYM7389854,B. Vijay Das,Male,57
KES7510663,T. Anjali Das,Female,61
LJH6747435,I. Latha Das,Female,28
TLS1243567,V. Lakshmi Reddy,Female,46
LBF0039657,P. Arun Babu,Male,53
HAP5210201,G. Manoj Das,Male,34
ASX5755382,G. Kavya Das,Female,54
KCB2989885,I. Kiran Kumar,Male,59
RXW4237278,Y. Lakshmi Joshi,Female,52
KTI5132517,J. Meena Reddy,Female,50
FVV3710940,I. Vikram Verma,Male,63
WMZ9225074,P. Anil Babu,Male,61
SLR0253625,O. Anil Reddy,Male,63
MFS3821152,L. Manoj Kumar,Male,42
DYD8149857,M. Vikram Verma,Male,42
RBV4643359,M. Priya Reddy,Female,45
OQE7364783,G. Sita Babu,Female,49
OWB1232262,U. Latha Babu,Female,60
WDG2772309,F. Lakshmi Kumar,Female,51
CQC9327415,Y. Sita Reddy,Female,23
ZOH4961566,P. Arun Joshi,Male,21
ULJ2308834,R. Meena Verma,Female,65
UPU5184276,Y. Manoj Singh,Male,62
URH7848126,Y. Priya Babu,Female,38
ZAZ2140002,E. Lakshmi Sharma,Female,43
VYB7041888,K. Divya Reddy,Female,46
FTC6239917,X. Kiran Sharma,Male,40
WFC6312170,L. Manoj Sharma,Male,41
GMR3970315,Y. Sanjay Reddy,Male,61
ULF6318442,R. Manoj Yadav,Male,29
HVX5012230,X. Lakshmi Joshi,Female,35
SRO3545636,H. Sita Yadav,Female,35
WFM0586572,E. Vijay Kumar,Male,27
YVM6378870,U. Lakshmi Joshi,Female,38
CSN1526174,G. Radha Das,Female,22
ONR5599598,F. Manoj Kumar,Male,50
TYG9437955,G. Kavya Singh,Female,57
UYV9555041,K. Priya Sharma,Female,19
KXT7718659,C. Lakshmi Babu,Female,51
XIW4917789,Y. Lakshmi Sharma,Female,21
OIS1699750,K. Priya Das,Female,23
TOG3467413,P. Sneha Babu,Female,44
IYC6433503,Y. Vikram Singh,Male,40
ESC7261823,G. Lakshmi Yadav,Female,58
TFO7569663,K. Manoj Verma,Male,45
HMY0669312,G. Suresh Babu,Male,41
NEN4902533,P. Sneha Babu,Female,39
GZN8688805,U. Anil Naidu,Male,20
NRW6454364,C. Latha Singh,Female,38
WIS5199199,V. Suresh Verma,Male,37
VDA3993786,F. Meena Yadav,Female,24
QPP5200718,Y. Anjali Babu,Female,32
FAT0247970,E. Latha Kumar,Female,52
PVS3955670,M. Kavya Sharma,Female,62
KTO5602338,Q. Manoj Das,Male,59
VLS1796144,E. Sneha Joshi,Female,33
IQS1707607,C. Sanjay Naidu,Male,59
XOR1817437,Y. Vijay Kumar,Male,52
TAM4864264,A. Latha Babu,Female,44
QVF1031056,I. Lakshmi Babu,Female,25
PRP7145902,V. Sita Naidu,Female,26
DSH5566176,J. Radha Joshi,Female,52
GOQ9647488,T. Sanjay Yadav,Male,62
QDW7943560,A. Vikram Joshi,Male,44
OTC3359818,J. Rahul Das,Male,43
XNI7478273,U. Sita Joshi,Female,61
HAZ6853587,C. Sanjay Kumar,Male,37
JVH5130205,P. Priya Verma,Female,21
DWV9617475,J. Latha Yadav,Female,63
XCT7076222,K. Arun Joshi,Male,46
YOC5529851,D. Radha Sharma,Female,58
CBL1558663,P. Meena Sharma,Female,49
CIQ7491823,C. Manoj Joshi,Male,25
MJL1761187,A. Anil Reddy,Male,48
KQO9338574,M. Priya Babu,Female,24
PMO8190187,P. Latha Reddy,Female,39
XXQ0115351,G. Divya Kumar,Female,47
ZPP5880990,W. Lakshmi Yadav,Female,45
KIJ3564139,W. Priya Babu,Female,28
QDX6911888,A. Priya Reddy,Female,32
FLA4772950,M. Divya Yadav,Female,34
DTZ9740804,P. Anil Reddy,Male,61
MNM7497209,R. Sanjay Sharma,Male,46
RHT0410726,S. Sita Sharma,Female,41
RJE7215099,S. Sita Kumar,Female,41
SEP8028044,V. Kiran Joshi,Male,63
NLH7335905,I. Sneha Kumar,Female,39
UGP4626756,I. Lakshmi Naidu,Female,57
KNR3720605,C. Vijay Sharma,Male,46
RXO9862496,E. Ravi Singh,Male,29
JIB9244961,Y. Kavya Sharma,Female,56
XSC0524816,T. Latha Reddy,Female,28
ASU4478023,M. Rahul Babu,Male,53
KQY0590476,V. Lakshmi Naidu,Female,29
XQJ0671175,W. Kiran Singh,Male,22
ZAI3742659,R. Radha Joshi,Female,53
MXB7110374,P. Ravi Sharma,Male,39
FUL8963951,T. Ravi Babu,Male,24
HTE3125176,C. Sanjay Reddy,Male,22
YSP2674112,A. Sita Kumar,Female,32
SPC8345199,T. Anjali Kumar,Female,55
CDV9419032,B. Anjali Verma,Female,64
YEU4187531,D. Lakshmi Sharma,Female,48
WJF4481943,X. Radha Singh,Female,39
DRB1841386,G. Vikram Yadav,Male,59
PVH7723585,P. Ravi Verma,Male,39
ANM7842507,P. Kiran Das,Male,19
ARE4559417,U. Anil Reddy,Male,30
NHT6652663,M. Manoj Yadav,Male,51
MBJ6757135,M. Anil Yadav,Male,64
HBI4517652,V. Anjali Singh,Female,37
XHY1264856,C. Anjali Singh,Female,24
TAE0885356,N. Meena Joshi,Female,55
HDU1249703,O. Lakshmi Joshi,Female,62
VSR1203121,F. Lakshmi Kumar,Female,33
ZND0979919,O. Anil Das,Male,47
SXI1406106,Z. Divya Babu,Female,45
QPF9205460,B. Anil Babu,Male,58
KSL3033452,B. Divya Yadav,Female,36
PDH9539530,E. Divya Babu,Female,55
VHM8354727,G. Latha Kumar,Female,55
KMR2129075,U. Rahul Naidu,Male,42
AGP1463036,Q. Divya Babu,Female,41
NTE0758863,U. Priya Reddy,Female,22
HUK9125875,E. Meena Das,Female,27
MIJ8857370,E. Manoj Sharma,Male,56
FZL7104410,J. Suresh Kumar,Male,38
RTU9291308,C. Ravi Naidu,Male,60
OCP0212959,H. Kavya Das,Female,49
ERC8945473,W. Vijay Babu,Male,37
CMK4768249,R. Meena Sharma,Female,28
ZMC4601451,F. Radha Sharma,Female,35
VKG4477578,G. Anil Babu,Male,24
DLD4290784,Q. Divya Naidu,Female,50
QCB7772642,E. Kiran Naidu,Male,34
IJL0583741,M. Sita Joshi,Female,20
OMW5349639,V. Radha Das,Female,62
JTA8303336,E. Sita Yadav,Female,24
WCE5064540,W. Rahul Reddy,Male,39
OVC6357363,M. Kavya Yadav,Female,20
GHO8697552,G. Divya Naidu,Female,36
LOF4647107,Q. Anjali Naidu,Female,56
VWX9702427,U. Vikram Das,Male,63
VQG6411284,N. Sneha Naidu,Female,57
UHO6077083,A. Sita Naidu,Female,56
GON1657540,M. Sneha Kumar,Female,24
YFC2248056,Z. Anil Verma,Male,46
ZWY3780968,V. Vijay Verma,Male,47
XRN2409993,J. Rahul Yadav,Male,40
WTK0889448,U. Vikram Yadav,Male,45
PVT4006671,L. Latha Singh,Female,27
NZV7867347,F. Priya Verma,Female,36
JKJ8500562,C. Lakshmi Singh,Female,34
QPD9150579,B. Vikram Singh,Male,60
JLF2871170,J. Anjali Joshi,Female,29
CMW9323450,S. Lakshmi Joshi,Female,39
YZP7026333,L. Anil Babu,Male,23
WDI5110188,P. Rahul Yadav,Male,34
NLE7495964,Y. Priya Naidu,Female,57
GSL9903744,B. Arun Joshi,Male,31
VTV5629071,J. Anil Kumar,Male,29
RRK5981086,A. Manoj Naidu,Male,40
YIT7952063,U. Lakshmi Babu,Female,42
GGU3023469,C. Vijay Singh,Male,24
XPJ0314326,X. Rahul Naidu,Male,29
CNZ6679560,N. Anil Singh,Male,56
RHG4559554,E. Radha Kumar,Female,57
TMU8047377,A. Kavya Reddy,Female,41
TPW1501146,F. Kavya Reddy,Female,42
UCD1861041,W. Lakshmi Singh,Female,45
DKD9744042,J. Vijay Joshi,Male,57
TPO2445668,N. Sita Joshi,Female,53
BXK4493602,K. Sita Das,Female,39
PRX8748734,Q. Anil Verma,Male,60
DFP1493200,V. Latha Joshi,Female,60
ICF5497775,Z. Latha Reddy,Female,50
ZTZ7681551,O. Sanjay Joshi,Male,64
TMW1381297,W. Anil Joshi,Male,37
CJT3617428,Q. Manoj Kumar,Male,40
DAU9039107,A. Divya Joshi,Female,55
WSI3896146,M. Vijay Das,Male,23
IST1920557,B. Sneha Das,Female,49
VHK5782517,I. Arun Verma,Male,20
ZUZ5865532,O. Rahul Yadav,Male,58
PVJ0780084,K. Vijay Das,Male,52
UWP6969741,R. Kavya Das,Female,25
SLA1591813,Q. Manoj Reddy,Male,62
ZHM7150882,L. Meena Naidu,Female,22
KOO9747675,C. Radha Sharma,Female,18
RKG3598768,Z. Divya Babu,Female,58
YOT9575065,C. Vijay Verma,Male,46
UPK0804483,O. Vikram Reddy,Male,43
ETE9609172,J. Radha Kumar,Female,26
YXB2525592,I. Suresh Singh,Male,47
XAO5176154,N. Meena Verma,Female,60
NLX4048290,Z. Anil Verma,Male,31
PNB7533115,U. Lakshmi Verma,Female,43
ZSH6329391,U. Anjali Naidu,Female,57
XST5760086,N. Arun Das,Male,61
VVZ1310776,M. Kiran Kumar,Male,50
ZAM7609612,H. Radha Joshi,Female,35
BDB2525716,S. Meena Kumar,Female,33
HRM3782244,N. Sita Singh,Female,59
ZFR9913060,S. Vikram Sharma,Male,53
MYV8520540,H. Lakshmi Reddy,Female,20
UBU0641008,K. Radha Reddy,Female,29
AJU8639743,Z. Lakshmi Babu,Female,27
PVX1534611,W. Ravi Reddy,Male,28
YTI8713330,N. Suresh Das,Male,24
IZQ2014646,B. Vikram Singh,Male,23
MXQ6424788,Z. Sneha Sharma,Female,45
JOD4693912,A. Sneha Reddy,Female,37
FEG1816832,H. Suresh Kumar,Male,42
WWB1971335,Z. Kavya Babu,Female,40
UIB7889820,R. Sanjay Naidu,Male,22
JNE7549456,Y. Latha Das,Female,24
FLJ1820725,H. Vikram Singh,Male,37
LLJ4204209,K. Manoj Singh,Male,22
DJO3627781,H. Meena Reddy,Female,63
YVT0699827,L. Arun Singh,Male,42
TSL7317624,Z. Vikram Das,Male,61
MRJ2477625,J. Suresh Sharma,Male,52
XOK3903439,U. Suresh Babu,Male,31
MEB9226005,B. Latha Babu,Female,26
NMB9812474,D. Kiran Kumar,Male,47
ZLV6235440,G. Meena Sharma,Female,36
VWK1643660,M. Manoj Babu,Male,44
SSF4959017,J. Suresh Reddy,Male,40
AQR4331027,B. Divya Joshi,Female,55
OGY1881012,C. Manoj Reddy,Male,47
JFA6268867,E. Radha Joshi,Female,33
BJF2910008,T. Rahul Sharma,Male,53
NVI6693421,B. Ravi Singh,Male,38
LBV6302359,M. Sita Verma,Female,34
RZS3683843,K. Rahul Singh,Male,33
GQX3776032,S. Meena Sharma,Female,52
ZLW1370748,X. Vikram Babu,Male,52
BXZ8628516,G. Anil Das,Male,39
YDE5725441,U. Ravi Kumar,Male,62
HLQ2709314,H. Kiran Naidu,Male,40
PDS2443601,C. Divya Naidu,Female,32
MYY9346540,Q. Latha Yadav,Female,36
YUT3763034,Y. Sanjay Singh,Male,53
SQG4626980,U. Manoj Sharma,Male,40
WEL6558577,Q. Kiran Verma,Male,53
YKI9800656,I. Sanjay Verma,Male,28
NCO2278198,P. Latha Kumar,Female,33
BAG4702967,D. Latha Naidu,Female,28
NZG4763633,M. Vikram Babu,Male,27
WUA8489015,B. Kiran Yadav,Male,51
RAQ9368976,Q. Manoj Singh,Male,51
YYM6613678,L. Kiran Singh,Male,62
ZMX9452196,V. Manoj Das,Male,30
FGM8115706,M. Arun Naidu,Male,57
ZLG2213519,U. Anil Das,Male,24
PEK4779165,J. Kavya Sharma,Female,30
VHF6127880,K. Arun Kumar,Male,54
MVM7393827,W. Meena Babu,Female,46
ZOI6973526,J. Suresh Kumar,Male,23
WBY3654482,Y. Ravi Babu,Male,53
JZR1034915,V. Anil Kumar,Male,19
GMR9636767,B. Latha Reddy,Female,57
MRN0552771,C. Divya Reddy,Female,43
EVA5584557,C. Priya Das,Female,57
ALI0560270,W. Ravi Kumar,Male,37
ZRG0992514,F. Rahul Singh,Male,64
RBA1821552,W. Kavya Reddy,Female,65
KCG4650796,M. Meena Kumar,Female,25
VIU3922564,F. Sanjay Singh,Male,51
HCZ2971585,Z. Kavya Verma,Female,26
PXE9337955,R. Meena Naidu,Female,27
RDO2963764,W. Lakshmi Kumar,Female,61
YNS9260378,J. Divya Naidu,Female,35
CHY8096914,S. Vikram Sharma,Male,25
SST2798856,X. Arun Sharma,Male,54
NYK3319257,L. Meena Kumar,Female,33
AQK9995898,I. Rahul Verma,Male,44
HCJ7404158,O. Kavya Yadav,Female,23
JJX5296417,P. Divya Singh,Female,29
DKI0699914,J. Vikram Sharma,Male,50
DYU1306084,X. Kavya Singh,Female,30
TGD5278928,P. Manoj Reddy,Male,57
ZPQ2109946,F. Ravi Verma,Male,61
FLB4013972,J. Kiran Verma,Male,23
FMX1193300,V. Arun Yadav,Male,34
JQF3817159,Q. Anil Babu,Male,48
ISZ2701528,R. Manoj Babu,Male,35
KYN0561057,C. Divya Joshi,Female,51
LNO3620550,C. Manoj Kumar,Male,54
OEB2018927,W. Meena Naidu,Female,63
QZI9821829,U. Vijay Yadav,Male,37
NZU7173686,I. Vikram Sharma,Male,50
QWK4741444,G. Vikram Babu,Male,58
AEE3600299,U. Sanjay Naidu,Male,35
AVT6020160,M. Arun Singh,Male,30
MOL1310661,G. Vijay Kumar,Male,28
DXA4162838,Q. Vijay Singh,Male,27
JQD9986155,D. Suresh Naidu,Male,62
XRY8700916,D. Priya Naidu,Female,32
LSD3173449,D. Sneha Babu,Female,31
MNF0757820,R. Anjali Das,Female,31
YXB3888218,R. Anjali Joshi,Female,18
JAZ3760880,D. Anjali Kumar,Female,40
TMD5947460,N. Radha Kumar,Female,31
NAV6858957,Y. Arun Kumar,Male,32
KBK8960646,E. Priya Verma,Female,32
CCP8025057,G. Latha Naidu,Female,52
ZOO7039032,I. Meena Reddy,Female,35
IXN5707480,E. Anjali Reddy,Female,63
WUR7195769,W. Manoj Verma,Male,32
XUK2601648,N. Latha Sharma,Female,58
IYE2301724,D. Vijay Joshi,Male,46
WKW9138936,B. Latha Yadav,Female,58
AWH1303404,W. Sita Das,Female,42
FII9474201,Y. Radha Singh,Female,28
BVU9220742,Y. Anjali Singh,Female,31
HSW5628093,M. Suresh Reddy,Male,26
RES3630750,P. Anjali Das,Female,33
MIU6279986,O. Anil Kumar,Male,47
UPF2169333,W. Vikram Das,Male,21
JON7114155,N. Radha Yadav,Female,63
CAY1765658,C. Sneha Reddy,Female,44
FMD9948770,M. Anjali Reddy,Female,56
RAX0078573,Z. Meena Singh,Female,38
QVU5169195,G. Vikram Babu,Male,57
UVQ2592046,D. Radha Babu,Female,39
ATZ6716218,S. Sanjay Singh,Male,21
WCY1121089,U. Sita Babu,Female,41
MQF4864129,N. Ravi Reddy,Male,53
OET9100518,T. Anil Babu,Male,29
SYG4935274,H. Arun Reddy,Male,38
UPE2744523,D. Priya Babu,Female,35
XVL8924689,L. Kiran Yadav,Male,52
JBR3713034,Z. Sita Kumar,Female,54
FOS9865664,G. Meena Das,Female,39
KDE3352689,B. Anjali Naidu,Female,36
BQB0872745,R. Latha Das,Female,44
VYC2819872,P. Lakshmi Reddy,Female,62
GUC9036821,W. Anil Sharma,Male,35
XZK4155693,E. Ravi Babu,Male,59
VGQ8604264,L. Radha Das,Female,38
NIY7681193,Y. Divya Das,Female,35
EHW6187281,I. Anjali Singh,Female,64
YCL1550206,I. Vijay Reddy,Male,61
PNC0211852,I. Priya Das,Female,36
CTW2273257,M. Vikram Singh,Male,43
WRE6134964,X. Vijay Naidu,Male,35
PZP4218598,V. Rahul Sharma,Male,34
LTZ2430378,Z. Ravi Yadav,Male,31
RDM2793719,N. Priya Verma,Female,28
XJI5921578,F. Vijay Naidu,Male,43
ZMR4196632,J. Manoj Reddy,Male,57
DMA3801875,J. Divya Babu,Female,20
XHA9263398,N. Rahul Babu,Male,26
GKF3294178,E. Latha Verma,Female,46
MLK4059476,Q. Vijay Yadav,Male,31
WBV1647580,R. Lakshmi Babu,Female,40
WDP5775591,P. Kavya Yadav,Female,28
CAP1024840,T. Rahul Verma,Male,45
GPL6110172,H. Kiran Das,Male,45
YMR3614404,V. Manoj Reddy,Male,61
LXJ1840158,U. Lakshmi Babu,Female,19
RJS3772733,C. Vijay Kumar,Male,49
UND3936408,W. Divya Das,Female,52
IGU9718739,V. Ravi Joshi,Male,39
LJQ0114165,B. Sanjay Reddy,Male,24
TLN7009001,H. Manoj Verma,Male,41
ESX6485436,C. Kiran Yadav,Male,50
CUH1263299,C. Manoj Babu,Male,24
OWY5306149,C. Kavya Das,Female,53
ITD5796820,I. Sita Verma,Female,21
YXM1714234,X. Ravi Babu,Male,49
WRT5076441,R. Arun Babu,Male,20
