Voter ID,Name,Gender,DOB,Father's Name / Husband's Name
HJO5471503,O. Ravi Kumar,Male,1964-05-16,Anil Joshi
ZJI8574752,R. Lakshmi Kumar,Female,1971-01-22,Sanjay Verma
MOV1901873,S. Sanjay Babu,Male,1940-09-07,Manoj Reddy
TRL2642827,Y. Sita Sharma,Female,1949-02-24,Suresh Babu
KDH3507838,T. Kavya Das,Female,1968-01-06,Sanjay Sharma
SKL2115834,U. Kiran Yadav,Male,1985-11-29,Sanjay Singh
RZD1888696,E. Latha Joshi,Female,1946-11-26,Ravi Sharma
EPP8254539,L. Sneha Verma,Female,1961-04-25,Manoj Singh
ZZU4080479,E. Kavya Das,Female,1943-10-12,Manoj Reddy
XNA4953392,T. Vijay Sharma,Male,1945-08-24,Sanjay Naidu
QPO6270410,I. Sanjay Sharma,Male,2003-11-06,Rahul Babu
PXT6317215,A. Latha Reddy,Female,1984-05-27,Rahul Naidu
TKJ6715802,E. Ravi Joshi,Male,1976-04-04,Suresh Babu
MYX2632542,P. Suresh Naidu,Male,2002-04-21,Manoj Singh
YLX8320637,R. Kavya Yadav,Female,1972-09-29,Arun Reddy
IAA0456372,K. Sanjay Kumar,Male,1941-02-20,Vikram Das
YQS1816859,T. Sanjay Verma,Male,2004-11-21,Ravi Sharma
QXH4973107,O. Suresh Reddy,Male,1944-08-09,Rahul Naidu
BZF3615461,F. Kavya Joshi,Female,1972-02-26,Rahul Naidu
UAM6003133,S. Priya Naidu,Female,1942-11-01,Ravi Reddy
OAY8459364,M. Manoj Reddy,Male,1960-10-11,Manoj Singh
QEB3168630,O. Vijay Naidu,Male,1974-03-29,Anil Reddy
GKU6498903,X. Anjali Babu,Female,1941-01-17,Vikram Sharma
DPY0164907,O. Sita Das,Female,1936-05-05,Vikram Das
LEP8147284,Z. Suresh Reddy,Male,2005-09-23,Arun Naidu
VUT5311465,E. Radha Yadav,Female,1977-12-05,Sanjay Das
AMA1068487,M. Lakshmi Kumar,Female,1985-02-27,Ravi Babu
GER5760834,O. Suresh Singh,Male,1988-07-09,Rahul Das
WZN4620118,T. Ravi Yadav,Male,1989-10-19,Vijay Reddy
HLI8707917,U. Latha Yadav,Female,1962-05-20,Arun Sharma
IFR3730783,S. Radha Babu,Female,1960-10-27,Vikram Joshi
DYL3176921,B. Manoj Singh,Male,2000-06-02,Sanjay Joshi
EIX6766198,O. Suresh Singh,Male,1981-11-04,Ravi Joshi
VHS7235851,S. Vijay Joshi,Male,1970-01-30,Manoj Verma
ANM7842507,X. Arun Das,Male,1969-07-15,Arun Joshi
ARE4559417,U. Anil Reddy,Male,1995-02-10,Rahul Verma
KRN2766526,U. Anil Reddy,Male,1936-02-26,Manoj Sharma
JQJ1507292,D. Sita Singh,Female,1941-01-03,Anil Sharma
IXN4034584,Y. Manoj Verma,Male,1948-10-15,Sanjay Verma
CXH9126485,O. Lakshmi Reddy,Female,1966-06-20,Ravi Verma
KTA1088535,P. Kiran Yadav,Male,1980-09-18,Vijay Kumar
HDU1249703,O. Lakshmi Joshi,Female,1963-05-27,Vijay Das
VSR1203121,F. Lakshmi Kumar,Female,1992-02-03,Vijay Naidu
OEH9441430,L. Anil Joshi,Male,1947-04-23,Anil Kumar
USX3140610,V. Priya Kumar,Female,1948-12-13,Rahul Babu
QPF9205460,B. Anil Babu,Male,1967-01-03,Ravi Yadav
KSL3033452,B. Divya Yadav,Female,1989-07-28,Sanjay Das
SKV5139539,Z. Sneha Singh,Female,1940-06-28,Rahul Kumar
MOX1824835,F. Sita Das,Female,1999-01-30,Rahul Singh
YVM6844621,I. Divya Naidu,Female,1956-11-03,Arun Kumar
LGR9837025,P. Radha Babu,Female,1962-10-13,Anil Babu
HKX3259571,F. Manoj Sharma,Male,1978-05-03,Suresh Yadav
HSJ5311274,K. Suresh Naidu,Male,1953-04-19,Vijay Yadav
UOR9877849,H. Vikram Verma,Male,1997-10-29,Suresh Das
DLZ5913711,J. Arun Yadav,Male,1995-03-30,Manoj Yadav
ZLT1044106,G. Vikram Kumar,Male,1945-04-16,Rahul Kumar
RTU9291308,C. Ravi Naidu,Male,1964-12-07,Rahul Sharma
OCP0212959,H. Kavya Das,Female,1955-01-02,Vijay Babu
ERC8945473,W. Vijay Babu,Male,1987-10-26,Manoj Yadav
CMK4768249,R. Meena Sharma,Female,1997-02-13,Anil Naidu
